ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
0X,0xe41d2489571d322189246dafa5ebde1f4699f498,0,2017-08-11,2017-08-15,4,1124,,,45.0,x,2,6,14,2018-02-11,,,
0XCERT,0x83e2be8d114f9661221384b3a50d24b96a5653f5,1,2018-06-26,2018-07-11,15,794,x,,,,12,2,0,2019-01-07,x,x,x
4NEW,0x241ba672574a78a3a604cdd0a94429a73a84a324,1,2018-08-20,2018-08-20,0,754,x,,,,50,7,0,2019-02-16,x,,
ABULABA,0xd938137e6d96c72e4a6085412ada2dad78ff89c4,1,2018-04-19,2018-12-16,241,636,,x,,,13,7,41,2019-06-14,x,,
AELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,0,2017-12-18,2017-12-21,3,996,,,154.0,x,13,10,0,2018-06-19,,,
AERGO,0xae31b85bfe62747d0836b82608b4830361a3d37a,0,2018-11-22,2018-12-17,25,635,,,318.0,,17,11,24,2019-06-15,,,
AIDCOIN,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,1,2017-11-20,2017-11-21,1,1026,x,,,,13,19,3,2018-05-20,x,x,
AIRSWAP,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0,2017-10-10,2017-10-10,0,1068,,,314.0,,1,9,65,2018-04-08,,,
AKROPOLIS,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0,2019-07-06,2019-09-17,73,361,,,144.0,,1,9,38,2020-03-15,,,
ALLME,0x76574c7b61b07ba14eace42e60cc73a08038da85,1,2017-12-27,2018-05-30,154,836,x,x,,,7,0,0,2018-11-26,,x,
AMPLEFORTH,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0,2019-06-14,2019-06-27,13,443,,,47.0,x,3,4,20,2019-12-24,,,
ANATOMIA,0x9c5f4e5c017984729b05f698a294288137203583,1,2018-06-04,2018-06-05,1,830,x,x,,x,0,0,0,2018-12-02,,,
ANKR,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,0,2019-02-21,2019-03-05,12,557,,,170.0,x,11,7,41,2019-09-01,,,
ARBITRAGE,0xafbec4d65bc7b116d85107fd05d912491029bf46,1,2018-03-08,2018-03-09,1,918,x,,,,18,16,1,2018-09-05,x,,
ARCBLOCK,0xb98d4c97425d9908e66e53a6fdf673acca0be986,0,2018-02-23,2018-02-24,1,931,,,312.0,,32,14,0,2018-08-23,,,
